order_id,customer_id,order_date,product,category,price,quantity,total_amount
1,C081,2025-05-30,Ring,Accessories,589.9700519345129,4,2359.8802077380515
2,C100,2026-02-16,Necklace,Accessories,9773.084547747943,2,19546.169095495887
3,C056,2026-02-23,Vacuum,Electronics,1188.352770208381,4,4753.411080833524
4,C077,2025-11-18,Computer,Electronics,2615.2909343746433,2,5230.5818687492865
5,C010,2025-07-01,Notebook,Office,4860.609552507987,3,14581.828657523962
6,C027,2025-09-09,Ring,Accessories,2119.0453422431688,4,8476.181368972675
7,C085,2025-10-07,Necklace,Accessories,6802.329299225575,2,13604.65859845115
8,C018,2025-09-24,Ring,Accessories,5707.249274898767,1,5707.249274898767
9,C043,2025-05-20,Notebook,Office,2418.079975111017,1,2418.079975111017
10,C012,2025-03-09,Computer,Electronics,7936.643808736379,2,15873.287617472757
11,C007,2025-11-16,Sofa,Furniture,1656.6193029715691,1,1656.6193029715691
12,C068,2025-02-24,Mouse,Electronics,8539.891700523813,3,25619.67510157144
13,C056,2025-11-10,Necklace,Accessories,5314.468996459243,4,21257.87598583697
14,C098,2025-06-24,Necklace,Accessories,4375.154048866463,4,17500.616195465853
15,C026,2025-12-07,Necklace,Accessories,,0,
16,C048,2025-08-21,Mouse,Electronics,7379.77413032663,1,7379.77413032663
17,C063,2025-03-02,Mouse,Electronics,2793.447911743137,4,11173.791646972548
18,C039,2025-03-18,Vacuum,Electronics,3266.803823823066,4,13067.215295292264
19,C035,2026-02-20,KeyBoard,Electronics,1664.4900033696085,5,8322.450016848043
20,C085,2025-05-30,KeyBoard,Electronics,3685.0390806077453,5,18425.195403038728
21,C073,2025-11-28,Mouse,Electronics,8840.255196790325,2,17680.51039358065
22,C004,2025-09-15,Bed,Furniture,2353.2812540693385,1,2353.2812540693385
23,C097,2025-08-03,KeyBoard,Electronics,37.39325510406801,5,186.96627552034005
24,C072,2025-03-25,Bed,Furniture,6406.076850255003,0,0.0
25,C062,2026-02-15,Vacuum,Electronics,7353.999395295766,5,36769.996976478826
26,C006,2026-01-23,Vacuum,Electronics,8634.574077356654,1,8634.574077356654
27,C018,2025-12-24,Bed,Furniture,5225.2308812403035,4,20900.923524961214
28,C055,2025-05-23,Bed,Furniture,5571.728886560269,5,27858.644432801342
29,C050,2025-10-29,Computer,Electronics,8945.771733902342,3,26837.315201707024
30,C055,2025-12-27,Computer,Electronics,164.25995432847168,4,657.0398173138867
31,C022,2025-02-27,Notebook,Office,2777.8374347281747,4,11111.349738912699
32,C091,2025-11-28,Ring,Accessories,86.1530978069179,3,258.4592934207537
33,C023,2025-10-18,Bed,Furniture,4453.716018425402,1,4453.716018425402
34,C100,2025-12-05,KeyBoard,Electronics,8966.087313011465,0,0.0
35,C048,2025-10-24,KeyBoard,Electronics,5744.181331815161,3,17232.54399544548
36,C061,2025-11-05,Ring,Accessories,5166.252132011682,4,20665.00852804673
37,C068,2025-04-30,Computer,Electronics,,1,
38,C047,2025-06-10,Necklace,Accessories,869.0544481794649,1,869.0544481794649
39,C067,2025-06-07,Sofa,Furniture,4400.433719079038,2,8800.867438158077
40,C052,2025-03-05,Necklace,Accessories,6052.525802056775,1,6052.525802056775
41,C021,2026-01-20,Bed,Furniture,5810.577103818155,1,5810.577103818155
42,C004,2025-09-26,Notebook,Office,5592.715504816845,4,22370.86201926738
43,C048,2025-09-21,Bed,Furniture,8768.161287159077,3,26304.48386147723
44,C085,2025-05-25,KeyBoard,Electronics,9660.618607118216,1,9660.618607118216
45,C074,2025-05-31,Bed,Furniture,734.051706463022,4,2936.206825852088
46,C082,2025-07-18,Bed,Furniture,2419.6102201358585,2,4839.220440271717
47,C076,2025-11-05,Mouse,Electronics,7781.916428221389,2,15563.832856442777
48,C080,2025-08-17,Sofa,Furniture,5102.006905556702,2,10204.013811113404
49,C074,2025-03-14,Sofa,Furniture,9739.716206001205,5,48698.581030006026
50,C014,2025-05-13,Notebook,Office,8149.79654814481,3,24449.38964443443
51,C056,2025-10-21,Mouse,Electronics,2234.5384888796916,4,8938.153955518766
52,C096,2026-01-11,Necklace,Accessories,8183.522107003853,4,32734.088428015413
53,C045,2026-01-29,Mouse,Electronics,1684.33128401132,4,6737.32513604528
54,C011,2025-03-03,Ring,Accessories,6867.218649613398,4,27468.874598453593
55,C021,2025-04-15,Vacuum,Electronics,7287.413234389636,3,21862.23970316891
56,C027,2025-12-20,Vacuum,Electronics,7211.441605464343,1,7211.441605464343
57,C019,2025-03-27,Mouse,Electronics,,3,
58,C090,2025-08-21,Mouse,Electronics,6066.19698995376,5,30330.984949768797
59,C022,2025-06-18,Necklace,Accessories,8388.243033494506,5,41941.21516747253
60,C005,2025-09-02,KeyBoard,Electronics,5446.6717993208595,2,10893.343598641719
61,C038,2025-10-22,Sofa,Furniture,7178.159956201619,3,21534.479868604856
62,C015,2025-03-11,Necklace,Accessories,9543.07911911742,2,19086.15823823484
63,C014,2025-07-05,Vacuum,Electronics,3896.1213645612797,2,7792.2427291225595
64,C012,2025-07-19,Mouse,Electronics,4808.325370464024,2,9616.650740928048
65,C088,2025-11-21,Notebook,Office,1520.9125117957547,4,6083.650047183019
66,C096,2025-12-13,KeyBoard,Electronics,5829.9545849843125,1,5829.9545849843125
67,C095,2025-05-28,Notebook,Office,,4,
